,resource_state,name,distance,moving_time,elapsed_time,total_elevation_gain,type,workout_type,id,external_id,upload_id,start_date,start_date_local,timezone,utc_offset,start_latlng,end_latlng,location_city,location_state,location_country,start_latitude,start_longitude,achievement_count,kudos_count,comment_count,athlete_count,photo_count,trainer,commute,manual,private,visibility,flagged,gear_id,from_accepted_tag,upload_id_str,average_speed,max_speed,average_cadence,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,pr_count,total_photo_count,has_kudoed,suffer_score,athlete.id,athlete.resource_state,map.id,map.summary_polyline,map.resource_state
0,2,Carrera a la hora del almuerzo,10005.3,3282,3406,50.0,Run,,4301663060,garmin_push_5785965154,4598497950,2020-11-07T12:21:19Z,2020-11-07T12:21:19Z,(GMT+00:00) Europe/London,0.0,"[52.282335, -1.533584]","[52.28278, -1.534656]",,,España,52.282335,-1.533584,6,8,0,1,0,False,False,False,False,everyone,False,g5086115,False,4598497950,3.049,6.4,84.6,True,160.6,175.0,False,True,65.9,46.4,2,0,False,112.0,7428619,1,a4301663060,qkb~H|ojHLe@Xm@ByALk@Re@YgBOq@Qi@G?UH_Af@cA\g@HoA@_@J]`@[LOb@?CGCa@^c@Te@Bc@NYf@c@BmBz@e@Oa@Y_@Ac@nA]j@_@`@MZu@x@{@dAcAbA]b@[Jc@TSFa@k@QK_ChAgBp@g@Ck@Ia@Tc@BkAPc@Bc@HaA@]JGJDnBG~@Dx@B~APdBOrF?|@GxADfCD~@@~BAzA@|@TzFB~@C~@F`ANz@FbAh@dDd@bB~@`Fh@pBNv@L|@H`ACZFz@n@tCd@dBRp@\b@F~BDdDNxAIr@TrO@`GE~EB`AH|@b@rBv@dFf@rB~@vCVl@Rr@n@|ATx@`@xBn@|C`@TGjA?~@TjBF|@j@tD~@~Ef@xBd@bDP|Bb@tDJx@NJ?HGZD`ADRDDERHx@fAhHn@pFn@xELv@Rx@Nz@^zATdBd@rBf@jBhAnCh@bBd@lBNVb@T`@XhAl@d@?`@Hb@Xb@Pb@OBCl@cBTs@L{@f@eBHw@E{@Gk@d@cDMu@CgB@_ATo@^g@J?DL^~A\vCE~@Jz@Hf@RI\_@t@m@f@}@To@DU@}@OiCC_AO_A_AgKUuB[qDOw@G_AO}@q@qJcA}KKo@QsDGi@i@yHM{@Gy@SwD[yDg@eJCy@A}CNuFEkBA_BIeBa@_DOo@}@_CSq@o@yCc@yC]mDWuDEyB?sBH{BB_CEuBEaAIm@Qy@[uBQ}BQq@g@De@Ra@Vc@Ng@Cc@@e@Dc@Lg@Dg@?g@Ee@N[b@St@W^KJGCAKLw@AOa@_@KyAa@Qg@HYEa@]]e@Qi@Qu@g@}DKiBAyBVyB`@eB@}@ScDK{@CsD?wBDOd@G^UXk@d@QnAQb@SHi@H}@HgDN}ANu@Dy@Lw@l@sDNkBB}@I_CYwBGuBN]b@STIb@Wn@g@b@U^e@d@Wj@NCEFM\Qd@_@f@Ef@O`@YfAg@rBm@X@Tt@L|@Tv@Nx@WlBGz@w@|Aa@\c@ESv@GbBDF,2
1,2,Carrera de tarde,8049.3,2694,2766,32.4,Run,,4290831802,garmin_push_5777972885,4589812668,2020-11-05T17:31:39Z,2020-11-05T17:31:39Z,(GMT+00:00) Europe/London,0.0,"[52.282305, -1.533847]","[52.283229, -1.534379]",,,España,52.282305,-1.533847,5,15,0,1,0,False,False,False,False,everyone,False,g5086115,False,4589812668,2.988,4.6,84.3,True,160.3,183.0,False,True,57.2,48.0,0,0,False,88.0,7428619,1,a4290831802,kkb~HpqjHL]N{@Pg@Gm@AWRw@V[AK_@}Ak@eBa@Hm@VeAn@oBd@a@TYVADe@l@_@Ec@VqB~@kA\Mt@\dGE|@c@pCg@bBi@pCYrDE`A@j@GfB?~@Ah@E`@WPAHRn@AtDIxBMjH^XXn@D|@CtAB`AC~BM|BI|@Kx@UnAK`ADXJrBT`@Mv@Ix@ExAEh@wAvGYn@c@^_@b@cBbDyB|C_@`@WLYFa@Z{A~AEx@F~BDjGHzBAvDA\BxBEtDJx@Rx@lA`HXr@Tr@z@|EPh@Zl@`@zAj@~A`@rBJ\N\h@^@PIX?xBRrBBz@ZvBf@lBn@fDz@rFZhCBz@Lx@F~@Jl@JNMTAFNbCp@hFhA|Gr@dFZvAF`ALv@Rj@bAbF|@rDZl@\b@f@lBb@rBVd@x@l@^\ZNh@NdAd@f@Lb@F^YXk@xAcEj@qAZm@|@qA`AgA`@]^W`@a@`@g@Ps@@e@K}BMw@G}@IiBg@sFWkBa@mFWwBMwBk@}EUsDk@oFk@gJSoAU{BUiDK_AO_EIoBQaCI{Ba@kFCsDFyGQ_GG_AIy@Ou@Uu@m@cBi@gBi@eCg@qEo@{IEaCH_E@aCCc@AaAK}Be@sDUcCO]?o@H_@^g@Ny@F{@@}@Iw@Sw@Wg@]qBc@eBUgBHQBcAEaCE{@Ky@EaAB_AYwDSuA]yECaA?yBFw@N{@@_A?aCB_AA{@IyBA{@Fi@LOb@CfALd@LTA,2
2,2,Carrera de tarde,8006.6,2502,2692,30.7,Run,,4286230449,garmin_push_5773402872,4584922237,2020-11-04T17:44:54Z,2020-11-04T17:44:54Z,(GMT+00:00) Europe/London,0.0,"[52.282367, -1.533443]","[52.284267, -1.534359]",,,España,52.282367,-1.533443,2,9,0,1,0,False,False,False,False,everyone,False,g5086115,False,4584922237,3.2,4.0,84.1,True,147.2,178.0,False,True,57.2,48.0,2,0,False,45.0,7428619,1,a4286230449,wkb~H`ojHF[Xe@DaAFk@f@mA]sBI[?OGK_@Jw@`@g@JWNe@Hg@Ec@Hg@Ts@`AWh@OOE@OLWJKLe@LcAn@IJe@?MH_@D]^Id@DbALx@VdDFfBG~@[rBe@f@Wp@Y|AIx@AlEAz@G|@?j@E`AUN?B?HHZKzBCzBM`CA|B@nBb@TXd@Lr@@bCCnBI~Bi@pE]hBLxBF^TZU~AGv@@b@w@vDi@hBg@lAqApB{ArBWViC`DeAdAcArAO^A`AD`A@~BL~CFx@B~@?rBIzFBpDDz@^pBPr@^xBd@tBHr@Rp@fAlCTt@d@bA^jBRp@f@zCVl@\LBRKV@zBXzBH~@ZxBNr@nA|GZrBPz@`@fDA^Fp@XtBJVGDIp@Lz@p@fDVvBn@pDTpBXrBF~@\xBbB`Jd@tBh@pBVr@Zh@Xr@x@`Dl@h@`@Rp@ZpBp@d@Vd@Pd@YvC_IbBwC^g@|AqA^a@Zk@Pu@?}@ScCGy@a@wDOyBa@yE{@}H]mDK}Ba@sC]eEm@iGI{@K_Cq@mHM}BK_AKyDMeAWeEIcCYeEE{BH{LIcCEy@SuAQy@o@aB_@w@w@cDk@cFc@gGCaAI}@GyDLkGEeCG}@K}@[qAMy@OuBOk@JcARSZm@NeA@i@A_@KcAQw@Ym@MeAw@eEEwA?oBWcGWqB[sDImCB}@KqCCeC@oGRcHG{@GAGRBP,2
3,2,Natación de mañana,1100.0,1724,1746,0.0,Swim,,4274546454,garmin_push_5761328742,4572554669,2020-11-02T06:43:24Z,2020-11-02T07:43:24Z,(GMT+01:00) Europe/Madrid,3600.0,,,,,España,,,0,5,0,1,0,True,False,False,False,everyone,False,,False,4572554669,0.638,1.2,22.6,False,,,False,False,,,0,0,False,,7428619,1,a4274546454,,2
4,2,Natación de mañana,550.0,710,2028,0.0,Swim,,4270086678,garmin_push_5756712419,4567825570,2020-11-01T09:25:54Z,2020-11-01T10:25:54Z,(GMT+01:00) Europe/Madrid,3600.0,,,,,España,,,0,0,0,1,0,True,False,False,True,only_me,False,,False,4567825570,0.775,6.0,23.8,False,,,False,False,,,0,0,False,,7428619,1,a4270086678,,2
5,2,Carrera a la hora del almuerzo,10212.7,3375,3436,38.2,Run,,4265914118,garmin_push_5752365404,4563366583,2020-10-31T11:02:12Z,2020-10-31T11:02:12Z,(GMT+00:00) Europe/London,0.0,"[52.282344, -1.533626]","[52.282125, -1.533325]",,,España,52.282344,-1.533626,2,10,0,1,0,False,False,False,False,everyone,False,g5086115,False,4563366583,3.026,7.3,82.6,True,160.9,194.0,False,True,56.9,48.0,0,0,False,112.0,7428619,1,a4265914118,skb~HdpjHl@sBAy@Je@FS\i@W{@Sy@g@kAQBa@X_@Ji@TkA\[NSRw@\MDk@DeAl@c@\c@LoB|@a@ZSp@P~BG^LxB@zBCx@Kx@_@bBa@zAIx@S`F?|DC|@EBkAb@c@DoB`@a@T]f@@x@TjDB|@L~B?`AHt@d@DjAKd@Ab@H^`@Vr@Lx@DbAA`CIjBUtDm@dDPnCXX?FeAfGQx@Ur@[xAAd@]n@}@nAi@l@uCdEy@z@_@b@cAz@sA|A?z@FbA@bAPvDE~BF`EAzF@rD@VJv@tA~GNz@Rr@\dBTv@Xn@Xf@nAtDr@jDF~@Zj@LBEj@LvCN|@f@lEpArGb@rBPlAPhBDz@^fB?`ANz@Pp@DB?DEHNnD`@nB\vBR|@N~@LrBTxBXrBXzBr@hD`AdFz@vCVp@l@vAPr@Tl@`@nAdAx@d@Nf@Vd@Zd@PP@`@VZHLE^]Zm@n@cBDU^_AXaAx@qAd@{@Xe@b@c@dAs@~AcBHy@MsBSeBOeBO{@I_Aa@iCSsBYqDWkBW{CW}Ae@sFSiBKqB]cEQ_EI{@Oy@M_CM_AG_AK}@QyBG_AGeDQ}ASaCMw@AqBM_AGoBDcE@gBD{@?aAGsB?{BEy@K{@YwAeAkDo@cBMw@Gy@E{@c@sCK}@G}@c@eGAqBRwHCQEKD{@Aq@E{@Oy@e@}CSwBWi@g@HkAZoAToADe@KyAHKCc@Rc@`@c@nBe@jAG@ES^_C]c@AIC{@Ec@B{@Lw@`@uDJ_BPiEAwAEy@Ws@g@O_DDg@X]f@O|@Gx@C|BRxBh@rDh@lBZf@f@Rd@I\]To@b@}CV}DD}@D_CA[Gw@Us@a@[GSB_CJ}BHiDB}BA}@Ck@JaADeC?_AAc@PiDNkBLu@Rs@\i@Pu@D{@@sBQmC_@sDPo@r@Sn@]vAi@r@Mp@Y^_@b@GHElAo@dAs@pB{@dAo@v@Yn@ERl@AfAPr@ETa@^[`@Op@Nv@Sn@[p@,2
6,2,Natación de mañana,1025.0,1461,1574,0.0,Swim,,4257274870,garmin_push_5743045974,4554180075,2020-10-29T06:46:50Z,2020-10-29T07:46:50Z,(GMT+01:00) Europe/Madrid,3600.0,,,,,España,,,0,6,2,1,0,True,False,False,False,everyone,False,,False,4554180075,0.702,2.1,24.4,False,,,False,False,,,0,0,False,,7428619,1,a4257274870,,2
7,2,Carrera de tarde,6039.7,2041,2203,26.4,Run,,4255405018,garmin_push_5741203626,4552210604,2020-10-28T17:15:11Z,2020-10-28T17:15:11Z,(GMT+00:00) Europe/London,0.0,"[52.282469, -1.533829]","[52.281943, -1.532043]",,,España,52.282469,-1.533829,0,8,0,1,0,False,False,False,False,everyone,False,g5086115,False,4552210604,2.959,4.2,83.1,True,183.6,195.0,False,True,56.9,49.7,0,0,False,140.0,7428619,1,a4255405018,klb~HlqjHbAyBA}@@YJe@Xk@AYSaBMm@MWQ?a@Fe@Tc@Ly@LQF{@LkAf@q@`ANFABq@Ts@DIDs@~@[JG?WDGDQ?SJWb@Id@A`@?tCJd@H|@A|@G~@MnA_@`BYv@[|C@nBEdCEfBGf@a@Tg@RiDbAw@\g@HQFADBFFB\b@F~AR|A?HNh@L`CVtBXf@~@F~@Dd@F\b@TzAB~EMfD[zCOz@JlB@@Cd@\`@ATQx@M~@WrAW`A[vBSv@e@lASn@a@^k@t@y@nAYh@aBvBmApAc@VeAdA_@b@GRDd@DvAX|DB|@?~BDzBKzF@x@AzB@b@\tC^jBP`CN|@Xf@Rp@Lx@ZbBJ~@Ww@y@cBUq@a@oC[qA_@sBG}@OuAEaAByAD{@BwBM{Ha@iHA}@?qCVm@fAoAd@[nAsAXSX_@Zm@vA_Cx@oA|@oAVe@Js@Vu@p@eDTy@d@qBPW_@q@C_AK{@@aAJ{BXuBf@eHK}BSo@}@Me@?i@Ee@BYGQ}@K}@m@aHWkBE}@BMFGnADd@KlAMd@MPMHSLQVm@BaACaANgFXo@LaBJ}@`@{CB}@?{@I_CM}AS{@Iy@?{@ROlAe@hAYhAe@p@k@l@W`@e@z@WTOV?bA[^OxA}@b@Md@LTp@^~A,2
8,2,Carrera de tarde,6767.8,2187,2343,35.4,Run,,4251078298,garmin_push_5736646198,4547656073,2020-10-27T17:51:01Z,2020-10-27T17:51:01Z,(GMT+00:00) Europe/London,0.0,"[52.28246, -1.533953]","[52.282304, -1.533785]",,,España,52.28246,-1.533953,4,7,0,1,0,False,False,False,False,everyone,False,g5086115,False,4547656073,3.095,7.3,82.5,True,120.5,164.0,False,True,62.9,48.4,4,0,False,8.0,7428619,1,a4251078298,klb~HfrjHFSb@y@Xk@HU@YEUBc@XkACWQ_@GYYcBC_@I@g@XkAr@kARkADu@f@e@~@EEu@n@OD}@`@a@Ve@Dc@Pa@l@e@@e@EQHc@B[x@g@Hg@TcAdAc@VO?KKg@HoAeEu@{Ag@mBWs@Qw@i@eBa@kBSu@Ui@e@iBKw@u@iBg@eBKo@KYEi@O_AB{BGaAc@qDi@wFa@kBO_AG}B?}@@}@\qF^yDJ{B@_AA}@F_AGwBIy@GcCCOBh@Rv@l@nDB|@Ot@Kz@C`A@`AEz@Kx@E`AKz@C|@[bG@v@D~@Jn@t@|CL~AN|Bt@`FBn@Mv@Oh@@TJx@Xn@F`@Tr@Zr@Vt@Tt@Hp@Tt@Ll@Tx@Xt@v@rCPr@r@lDl@hBdArCNt@Pb@^\BFIp@Q`@a@n@Of@ObDQjB[rBEz@M|@Ql@RkCDu@?e@H_AfAaCTI\`@`@xBH`AZd@Jd@Q|@YbAYr@Wj@_@d@Wl@w@hDMz@Bx@Hz@BJBs@Z?HCHTXxCLjEUq@g@oD@yBCi@KA@QVo@T{Bl@kDh@iBv@wAd@Ud@Ef@Bb@UTo@Lw@d@gBVyB@cACq@I}@Cy@S_CQu@e@[[O[f@Wh@a@^a@h@_@^_@h@Fx@r@|ANt@WtBAn@Mz@Qt@G@c@Ya@Sy@Y_@EG|@G|BOvBOC@_Cp@iJJ}@Ru@`BqBx@mA\m@x@_Ad@Od@Gt@q@THjA_@f@IhAi@^[`Am@^HAQf@QfAq@`@OVEjBcAlAa@f@KVj@Pt@f@`B@No@jBB|@Ip@Yh@Sj@,2
9,2,Natación de mañana,600.0,925,1707,0.0,Swim,,4240394358,garmin_push_5725010549,4536318234,2020-10-25T09:32:50Z,2020-10-25T10:32:50Z,(GMT+01:00) Europe/Madrid,3600.0,,,,,España,,,0,0,0,1,0,True,False,False,True,only_me,False,,False,4536318234,0.649,3.8,24.3,False,,,False,False,,,0,0,False,24.0,7428619,1,a4240394358,,2
