,id,name,distance,moving_time,elapsed_time,total_elevation_gain,type,start_date_local,location_country,achievement_count,kudos_count,comment_count,athlete_count,photo_count,average_speed,max_speed,average_cadence,has_heartrate,average_heartrate,max_heartrate,elev_high,elev_low,pr_count,total_photo_count,suffer_score
0,4301663060,Carrera a la hora del almuerzo,10005.3,3282,3406,50.0,Run,2020-11-07T12:21:19Z,España,6,8,0,1,0,3.049,6.4,84.6,True,160.6,175.0,65.9,46.4,2,0,112.0
1,4290831802,Carrera de tarde,8049.3,2694,2766,32.4,Run,2020-11-05T17:31:39Z,España,5,15,0,1,0,2.988,4.6,84.3,True,160.3,183.0,57.2,48.0,0,0,88.0
2,4286230449,Carrera de tarde,8006.6,2502,2692,30.7,Run,2020-11-04T17:44:54Z,España,2,9,0,1,0,3.2,4.0,84.1,True,147.2,178.0,57.2,48.0,2,0,45.0
3,4274546454,Natación de mañana,1100.0,1724,1746,0.0,Swim,2020-11-02T07:43:24Z,España,0,5,0,1,0,0.638,1.2,22.6,False,,,,,0,0,
4,4270086678,Natación de mañana,550.0,710,2028,0.0,Swim,2020-11-01T10:25:54Z,España,0,0,0,1,0,0.775,6.0,23.8,False,,,,,0,0,
5,4265914118,Carrera a la hora del almuerzo,10212.7,3375,3436,38.2,Run,2020-10-31T11:02:12Z,España,2,10,0,1,0,3.026,7.3,82.6,True,160.9,194.0,56.9,48.0,0,0,112.0
6,4257274870,Natación de mañana,1025.0,1461,1574,0.0,Swim,2020-10-29T07:46:50Z,España,0,6,2,1,0,0.702,2.1,24.4,False,,,,,0,0,
7,4255405018,Carrera de tarde,6039.7,2041,2203,26.4,Run,2020-10-28T17:15:11Z,España,0,8,0,1,0,2.959,4.2,83.1,True,183.6,195.0,56.9,49.7,0,0,140.0
8,4251078298,Carrera de tarde,6767.8,2187,2343,35.4,Run,2020-10-27T17:51:01Z,España,4,7,0,1,0,3.095,7.3,82.5,True,120.5,164.0,62.9,48.4,4,0,8.0
9,4240394358,Natación de mañana,600.0,925,1707,0.0,Swim,2020-10-25T10:32:50Z,España,0,0,0,1,0,0.649,3.8,24.3,False,,,,,0,0,24.0
10,4236656500,Carrera a la hora del almuerzo,6999.0,2347,2681,33.1,Run,2020-10-24T12:51:43Z,España,1,7,0,1,0,2.982,4.1,82.0,True,147.8,164.0,62.9,49.3,0,0,45.0
11,4229461178,Carrera de tarde,6010.4,2082,2115,16.4,Run,2020-10-22T17:36:06Z,España,0,9,0,1,0,2.887,3.6,82.4,True,161.2,177.0,54.8,46.6,0,0,73.0
12,4185080881,Vuelta de reconocimiento Leamington Spa,5003.1,1779,1887,46.8,Run,2020-10-12T13:21:41Z,España,0,11,0,1,0,2.812,5.1,81.7,True,173.6,200.0,61.6,43.0,0,0,92.0
13,4083423207,Actividad a la hora del almuerzo,0.0,2613,2613,0.0,WeightTraining,2020-09-14T12:14:10Z,España,0,0,0,1,0,0.0,0.0,,True,81.4,116.0,,,0,0,4.0
14,4042425370,Actividad de noche,1617.7,2509,5448,0.0,Workout,2020-09-10T19:55:27Z,España,0,3,0,1,0,0.645,1.5,57.8,True,99.4,138.0,85.9,84.8,0,0,6.0
15,4026924552,Actividad de noche,2243.8,3965,5962,0.0,Workout,2020-09-07T18:33:49Z,España,0,2,0,1,0,0.566,1.4,62.7,True,117.0,169.0,85.7,85.1,0,0,16.0
16,4021761021,Descanso activo ,6007.6,2047,2047,0.0,Run,2020-09-06T17:59:15Z,España,0,6,0,1,0,2.935,3.4,83.6,True,157.7,188.0,7.3,5.9,0,0,64.0
17,4013860348,Llegamos a los dos dígitos después de mucho tiempo 🤘🏽🤘🏽🚀,10055.7,3245,3251,30.2,Run,2020-09-05T09:48:51Z,España,0,8,0,2,0,3.099,4.2,82.5,True,150.2,175.0,16.2,5.9,0,1,67.0
18,4013859788,Actividad de noche,0.0,3119,3119,0.0,WeightTraining,2020-09-04T19:38:47Z,España,0,2,0,1,0,0.0,0.0,,True,114.2,152.0,78.0,78.0,0,0,10.0
19,3996864684,Carrera de noche,8032.5,2544,2572,0.0,Run,2020-09-01T18:34:26Z,España,0,5,0,1,0,3.157,4.0,82.2,True,154.9,172.0,7.6,5.8,0,0,64.0
20,3982332799,Excursión de mañana,9061.3,4203,7614,370.0,Hike,2020-08-29T08:37:35Z,España,0,3,0,2,0,2.156,2.3,,False,,,1315.0,1181.6,0,2,
21,3974338718,Carrera de noche,8010.8,2601,2691,53.5,Run,2020-08-27T19:34:35Z,España,12,3,0,1,0,3.08,5.4,,False,,,441.5,396.1,4,0,
22,3969685838,Carrera de noche,6987.0,2247,2349,58.3,Run,2020-08-26T19:44:20Z,España,11,1,0,1,0,3.109,6.0,,False,,,440.7,396.1,7,0,
23,3959750944,Carrera de noche,5757.2,1877,1929,39.4,Run,2020-08-24T18:24:38Z,España,5,0,0,1,0,3.067,6.4,,False,,,426.4,394.4,1,0,
24,3918725497,Actividad de noche,0.0,105357,105357,0.0,WeightTraining,2020-08-14T19:31:58Z,España,0,3,0,1,0,0.0,0.0,,True,90.7,149.0,,,0,0,221.0
25,3905485979,Actividad de tarde,0.0,50674,50674,0.0,WeightTraining,2020-08-12T17:41:31Z,España,0,2,0,1,0,0.0,0.0,,True,99.8,143.0,,,0,0,128.0
26,3868883433,Actividad de tarde,0.0,2532,2532,0.0,WeightTraining,2020-08-05T17:54:40Z,España,0,1,0,1,0,0.0,0.0,,True,90.3,124.0,,,0,0,5.0
27,3861289429,Excursión de noche,3004.4,2708,2823,11.2,Hike,2020-08-03T19:39:40Z,España,0,0,0,1,0,1.109,1.5,55.1,True,106.6,121.0,8.7,-0.1,0,0,7.0
28,3859007234,Carrera de noche,8001.1,2739,2739,0.0,Run,2020-08-03T18:18:55Z,España,0,7,0,1,0,2.921,3.8,82.2,True,146.1,173.0,7.6,5.8,0,0,43.0
29,3856603637,Excursión de mañana,2707.5,1802,1802,2.2,Hike,2020-08-03T07:12:11Z,España,0,0,0,1,0,1.502,1.7,61.9,True,86.6,100.0,2.2,-0.1,0,0,3.0
30,3855522545,Carrera de noche,6003.8,1930,1930,0.0,Run,2020-08-02T20:47:59Z,España,0,4,0,1,0,3.111,3.8,83.6,True,154.5,180.0,7.3,5.8,0,0,50.0
31,3855522157,Excursión de noche,6002.9,3662,3662,19.6,Hike,2020-07-30T18:01:01Z,España,0,3,0,1,0,1.639,3.3,64.5,True,133.3,178.0,5.6,-0.2,0,0,28.0
32,3837345366,Actividad de noche,0.0,3651,3651,0.0,WeightTraining,2020-07-29T18:59:00Z,España,0,3,0,1,0,0.0,0.0,,True,119.8,169.0,,,0,0,20.0
33,3837344344,Actividad a la hora del almuerzo,0.0,3509,3509,0.0,WeightTraining,2020-07-26T11:59:06Z,España,0,3,0,1,0,0.0,0.0,,True,103.8,145.0,,,0,0,9.0
34,3837343857,Actividad de noche,0.0,2654,2654,0.0,WeightTraining,2020-07-25T19:01:55Z,España,0,0,0,1,0,0.0,0.0,,True,103.7,129.0,,,0,0,7.0
